epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13623,0.56653,1.40295,0.19122,0.36568,1.00143,0.99407,0.99782,0.99304,0.93427,0.98532,0.98791,0.98937,0.81804,0.22328,0.43499,0.08211,0.157,0.41075,0.002377,0.002377,0.002377
79,13795.8,0.56369,1.37392,0.19304,0.35981,0.99703,0.99403,0.9982,0.99304,0.93395,0.98532,0.98783,0.98941,0.81855,0.22313,0.43332,0.08189,0.15494,0.41074,0.002278,0.002278,0.002278
80,13968.4,0.5668,1.36827,0.19092,0.36313,0.99767,0.99398,0.99837,0.99306,0.93403,0.98478,0.98737,0.98937,0.81903,0.22309,0.43196,0.0817,0.14893,0.41051,0.002179,0.002179,0.002179
81,14141.4,0.56047,1.36081,0.19088,0.36157,0.99976,0.99382,0.99837,0.99304,0.93447,0.98587,0.98851,0.98985,0.82097,0.22286,0.43102,0.08151,0.14656,0.41042,0.00208,0.00208,0.00208
82,14314.1,0.56094,1.32924,0.19019,0.36138,0.99448,0.99403,0.99886,0.99304,0.93436,0.98588,0.98925,0.98994,0.82137,0.22268,0.42991,0.0814,0.1437,0.4102,0.001981,0.001981,0.001981
83,14487,0.56084,1.31873,0.18742,0.35781,0.99462,0.99401,0.99891,0.99305,0.93355,0.98512,0.98965,0.99,0.82168,0.2226,0.4287,0.0812,0.14168,0.4102,0.001882,0.001882,0.001882
84,14660,0.55274,1.30865,0.18852,0.35712,0.99421,0.99396,0.99891,0.99308,0.93395,0.98511,0.98965,0.99007,0.82262,0.22231,0.42765,0.08109,0.14217,0.41007,0.001783,0.001783,0.001783
85,14833,0.5543,1.30804,0.1865,0.35216,0.99285,0.99396,0.99891,0.9931,0.93423,0.9858,0.99019,0.99034,0.82416,0.22213,0.42706,0.08092,0.14509,0.40994,0.001684,0.001684,0.001684
86,15005,0.54465,1.26178,0.18696,0.34521,0.99096,0.99382,0.99891,0.9931,0.93411,0.98591,0.98965,0.99036,0.82457,0.22206,0.42616,0.08076,0.14498,0.40986,0.001585,0.001585,0.001585
87,15177.7,0.54967,1.26763,0.18534,0.34947,0.9904,0.99379,0.99891,0.99314,0.93516,0.9859,0.98965,0.99044,0.82537,0.2217,0.42472,0.08062,0.14592,0.40969,0.001486,0.001486,0.001486
88,15349.7,0.5469,1.25196,0.18657,0.34491,0.99061,0.99379,0.99891,0.99317,0.93506,0.98589,0.98973,0.99048,0.8267,0.22158,0.42383,0.08043,0.14843,0.40955,0.001387,0.001387,0.001387
89,15521.7,0.53681,1.24652,0.18141,0.34435,0.98402,0.99379,0.99891,0.99319,0.93491,0.98589,0.98975,0.99052,0.82676,0.22146,0.42302,0.0803,0.14989,0.40947,0.001288,0.001288,0.001288
90,15693.9,0.53826,1.24633,0.18595,0.34382,0.98736,0.99379,0.99891,0.99319,0.93506,0.98589,0.98978,0.99054,0.82826,0.22121,0.42215,0.08021,0.15023,0.40926,0.001189,0.001189,0.001189
91,15884.1,0.44129,0.8355,0.15779,0.25093,0.94411,0.99378,0.99891,0.99316,0.93526,0.98589,0.9898,0.99049,0.82828,0.22101,0.42126,0.08,0.14943,0.40914,0.00109,0.00109,0.00109
92,16053.3,0.43729,0.79802,0.15457,0.24855,0.93718,0.99379,0.99891,0.99314,0.93549,0.98641,0.98916,0.9905,0.82964,0.22078,0.41992,0.07982,0.14733,0.40903,0.000991,0.000991,0.000991
93,16223,0.4354,0.8072,0.15349,0.2484,0.93896,0.99381,0.99891,0.99314,0.93625,0.98641,0.98866,0.99042,0.83051,0.22047,0.41868,0.07961,0.14534,0.40886,0.000892,0.000892,0.000892
94,16392.9,0.42533,0.76342,0.15081,0.23739,0.93236,0.99383,0.99891,0.99314,0.93578,0.9867,0.98856,0.99041,0.83145,0.22006,0.41741,0.07936,0.14204,0.40863,0.000793,0.000793,0.000793
95,16562.3,0.42202,0.76287,0.15127,0.23631,0.93367,0.99384,0.99891,0.99314,0.93657,0.98728,0.98801,0.99035,0.83226,0.21972,0.41594,0.07912,0.13983,0.40843,0.000694,0.000694,0.000694
96,16731.1,0.41866,0.72579,0.14731,0.23351,0.93047,0.99388,0.99891,0.99312,0.93697,0.98734,0.98801,0.9904,0.83337,0.2195,0.41476,0.07888,0.13781,0.40829,0.000595,0.000595,0.000595
97,16900.1,0.41248,0.72599,0.14964,0.22769,0.929,0.99387,0.99891,0.99311,0.9372,0.98665,0.98801,0.99032,0.83376,0.21921,0.41333,0.07866,0.13613,0.40816,0.000496,0.000496,0.000496
98,17069.9,0.40675,0.71762,0.14731,0.2255,0.92295,0.9938,0.99891,0.99312,0.93825,0.9864,0.98804,0.99039,0.83396,0.21904,0.41203,0.07847,0.13428,0.40809,0.000397,0.000397,0.000397
99,17238.8,0.40445,0.72732,0.14729,0.22217,0.92251,0.99383,0.99891,0.99312,0.93797,0.9864,0.98808,0.9904,0.83452,0.21888,0.41102,0.07828,0.13329,0.40796,0.000298,0.000298,0.000298
100,17407.2,0.39891,0.71864,0.14651,0.22236,0.92257,0.9939,0.99891,0.99312,0.93784,0.98585,0.98752,0.99031,0.83454,0.21864,0.40983,0.07811,0.13282,0.4078,0.000199,0.000199,0.000199
